Well API,Well Tier,Well Type,Operator Name,Field,Well Designation,CalGEM District,County,Lease,City,Latitude,Longitude,View in WellFinder,x,y
0405906040,Inaccessible,Oil & Gas,California-Eastern Oil Co.,Richfield,Verde 1,Southern,Orange,Verde,Placentia,33.87244034,-117.86990356,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405906040&config=WellFinder,197090.92700000107,-458101.5628000004
0405905940,Inaccessible,Oil & Gas,Mohla Oil Co.,"Newport, West",Atha-S.L.W.-Mohla 7-13,Southern,Orange,Atha-S.L.W.-Mohla,Huntington Beach,33.65594482,-117.97568512,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905940&config=WellFinder,187817.45160000026,-482318.2626
0405905899,Inaccessible,Oil & Gas,Boswell Petroleum Co.,Any Field,Page 1,Southern,Orange,Page,Yorba Linda,33.87947464,-117.82803345,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905899&config=WellFinder,200946.46779999882,-457233.7193
0405905898,Tier 2,Oil & Gas,Yoelin Family Trust,Richfield,Breen 2,Southern,Orange,Breen,Yorba Linda,33.87643433,-117.82815552,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905898&config=WellFinder,200942.89979999885,-457571.08160000015
0405905896,Inaccessible,Oil & Gas,Boswell Petroleum Co.,Richfield,Breen 1,Southern,Orange,Breen,Yorba Linda,33.87831116,-117.82814789,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905896&config=WellFinder,200938.83769999817,-457362.96630000044
0405905892,Inaccessible,Oil & Gas,"Arrowhead Oil Co., Ltd.",Richfield,Bradford OLD 3,Southern,Orange,Bradford,Placentia,33.87364578,-117.8380127,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905892&config=WellFinder,200038.1116000004,-457901.1146999998
0405905818,Inaccessible,Oil & Gas,O'Donnell Oil syndicate,"Newport, West",Macklin 1,Southern,Orange,Macklin,Newport Beach,33.63061523,-117.95558929,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905818&config=WellFinder,189742.21460000053,-485086.0619000001
0405905692,Tier 2,Dry Hole,Union Oil Company of California,"Coyote, West (ABD)",San Juan 1,Southern,Orange,San Juan,La Habra,33.9140358,-117.95861053,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905692&config=WellFinder,188785.17720000073,-453669.8854
0405905537,Tier 2,Oil & Gas,Columbine Associates,Esperanza,Dometal 4,Southern,Orange,Dometal,Yorba Linda,33.90049744,-117.76507568,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905537&config=WellFinder,206715.15289999917,-454767.38430000003
0405905535,Tier 2,Oil & Gas,Columbine Associates,Esperanza,Dometal 2,Southern,Orange,Dometal,Yorba Linda,33.89591599,-117.76343536,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905535&config=WellFinder,206878.82809999958,-455271.7923999997
0405905532,Tier 2,Oil & Gas,Santa Ana Canyon Dev. Corp.,Esperanza,Reeves 2,Southern,Orange,Reeves,Orange County,33.89663315,-117.75827026,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905532&config=WellFinder,207354.61989999935,-455180.9912999999
0405905526,Tier 2,Oil & Gas,"Visioncraft Energy, LLC",Esperanza,CRA Texas A.U.W.C. 1,Southern,Orange,CRA Texas A.U.W.C.,Orange County,33.89600372,-117.75642395,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905526&config=WellFinder,207527.01810000092,-455246.74179999996
0405905509,Inaccessible,Oil & Gas,J. J. Rekar,Newport,4,Southern,Orange,Unspecified,Costa Mesa,33.63639832,-117.92871857,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905509&config=WellFinder,192221.67550000176,-484390.8827999998
0405905508,Inaccessible,Oil & Gas,J. J. Rekar,Newport,3,Southern,Orange,Unspecified,Costa Mesa,33.63640594,-117.92941284,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905508&config=WellFinder,192157.23710000142,-484391.4455000004
0405905507,Inaccessible,Oil & Gas,J. J. Rekar,Newport,2,Southern,Orange,Unspecified,Costa Mesa,33.63637161,-117.92823029,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905507&config=WellFinder,192267.04670000076,-484392.8535000002
0405905506,Inaccessible,Oil & Gas,J. J. Rekar,Newport,1,Southern,Orange,Unspecified,Costa Mesa,33.63760376,-117.93763733,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905506&config=WellFinder,191391.21409999952,-484275.3037999999
0405905503,Inaccessible,Oil & Gas,John E. Otto,Newport,1,Southern,Orange,Unspecified,Costa Mesa,33.632327,-117.915836,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905503&config=WellFinder,193426.94330000132,-484815.983
0405905484,Inaccessible,Oil & Gas,Title Insurance & Trust Co.,Newport,Newport 1,Southern,Orange,Newport,Newport Beach,33.61904144,-117.92972565,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905484&config=WellFinder,192170.2501000017,-486316.9018000001
0405905469,Inaccessible,Oil & Gas,Jordan & Maney,Newport,Costa Mesa 1,Southern,Orange,Costa Mesa,Costa Mesa,33.64023209,-117.93100739,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905469&config=WellFinder,192000.02490000054,-483970.5488999998
0405905467,Inaccessible,Oil & Gas,Interstate Oil Corp.,Newport,Mesa 3,Southern,Orange,Mesa,Costa Mesa,33.635826109999996,-117.93426514,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905467&config=WellFinder,191708.40260000154,-484465.54229999986
0405905466,Inaccessible,Oil & Gas,Interstate Oil Corp.,Newport,Mesa 1,Southern,Orange,Mesa,Costa Mesa,33.63499451,-117.93210602,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905466&config=WellFinder,191910.75539999828,-484553.35639999993
0405905463,Inaccessible,Oil & Gas,Edward L. Grafton,Newport,2,Southern,Orange,Unspecified,Costa Mesa,33.63761902,-117.93741608,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905463&config=WellFinder,191411.7063000016,-484273.16559999995
0405905460,Inaccessible,Oil & Gas,T. F. Gesell,Newport,1,Southern,Orange,Unspecified,Newport Beach,33.62430191,-117.9397583,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905460&config=WellFinder,191226.46290000156,-485754.0776000004
0405905457,Inaccessible,Oil & Gas,Louis F. Dekay & Son,Newport,Newport 1,Southern,Orange,Newport,Newport Beach,33.61775589,-117.93087006,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905457&config=WellFinder,192067.14979999885,-486461.71999999974
0405905447,Inaccessible,Oil & Gas,Gilbert H. Beesemyer,Newport,Steel Rig 1,Southern,Orange,Steel Rig,Newport Beach,33.61931229,-117.9313736,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905447&config=WellFinder,192016.65150000155,-486290.21779999975
0405905446,Inaccessible,Oil & Gas,Gilbert H. Beesemyer,Newport,Orange Co. 3,Southern,Orange,Orange Co.,Newport Beach,33.61840057,-117.93162537,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905446&config=WellFinder,191995.4904000014,-486391.7890999997
0405905445,Inaccessible,Oil & Gas,Gilbert H. Beesemyer,Newport,Orange Co. 2,Southern,Orange,Orange Co.,Newport Beach,33.61909866,-117.93172455,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905445&config=WellFinder,191984.5971999988,-486314.6087999996
0405905441,Inaccessible,Oil & Gas,Barnhart-Morrow Consolidated,Newport,1,Southern,Orange,Unspecified,Costa Mesa,33.63639069,-117.93006897,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905441&config=WellFinder,192096.39310000092,-484394.46549999993
0405905438,Inaccessible,Oil & Gas,Mrs. Juanita C. Yorba,"Coyote, East",5,Southern,Orange,Unspecified,Placentia,33.90128708,-117.86743927,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905438&config=WellFinder,197246.94200000167,-454897.9042999996
0405905178,Tier 2,Oil & Gas,H. L. Hall et al,"Newport, West",1,Southern,Orange,Unspecified,Orange County,33.63240433,-117.94058228,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905178&config=WellFinder,191130.48319999874,-484857.5981999999
0405905011,Inaccessible,Oil & Gas,Klokke Investment Co.,"Coyote, East",1,Southern,Orange,Unspecified,Fullerton,33.89204407,-117.88432312,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405905011&config=WellFinder,195708.44779999927,-455957.77410000004
0405904812,Inaccessible,Oil & Gas,J. M. Hale,"Coyote, East",1,Southern,Orange,Unspecified,Fullerton,33.89203644,-117.88912964,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904812&config=WellFinder,195263.92080000043,-455968.5307
0405904749,Inaccessible,Oil & Gas,HB12 Partners LLC,Huntington Beach,Boxie Huston 1,Southern,Orange,Boxie Huston,Huntington Beach,33.66220856,-118.00744629,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904749&config=WellFinder,184856.48649999872,-481686.32600000035
0405904746,Inaccessible,Oil & Gas,Whittier National Oil Co.,Huntington Beach,1,Southern,Orange,Unspecified,Huntington Beach,33.6677475,-117.99944305,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904746&config=WellFinder,185585.9032999985,-481056.67179999966
0405904705,Inaccessible,Oil & Gas,T. A. Webber,Huntington Beach,4,Southern,Orange,Unspecified,Huntington Beach,33.66996765,-118.00052643,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904705&config=WellFinder,185480.22560000047,-480812.6763000004
0405904680,Inaccessible,Oil & Gas,Vista Del Mar Oil Co.,Huntington Beach,Community 1,Southern,Orange,Community,Huntington Beach,33.66628647,-117.99350739,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904680&config=WellFinder,186139.88010000065,-481206.99810000043
0405904509,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Brooks 5-A,Southern,Orange,Brooks,Huntington Beach,33.69505692,-118.01449585,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904509&config=WellFinder,184126.30099999905,-478058.5752999997
0405904348,Tier 3,Oil & Gas,Simeon Tucker & H. R. Taylor,Huntington Beach,Bundy 3,Southern,Orange,Bundy,Huntington Beach,33.66544342,-118.00375366,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904348&config=WellFinder,185191.46090000123,-481320.5197999999
0405904314,Inaccessible,Oil & Gas,Thomas Syndicate,Huntington Beach,2,Southern,Orange,Unspecified,Huntington Beach,33.66792297,-117.99806976,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904314&config=WellFinder,185712.86899999902,-481034.53089999966
0405904280,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Brooks 3A,Southern,Orange,Brooks,Huntington Beach,33.69411469,-118.01442719,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904280&config=WellFinder,184134.8550999984,-478162.8968000002
0405904084,Inaccessible,Oil & Gas,Sun Oil Co. of California,Huntington Beach,1,Southern,Orange,Unspecified,Huntington Beach,33.66720581,-117.99679565,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405904084&config=WellFinder,185832.72590000182,-481111.5351999998
0405903385,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 65,Southern,Orange,Bolsa,Orange County,33.69227219,-118.0193634,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903385&config=WellFinder,183681.4261999987,-478376.7297
0405903384,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 64,Southern,Orange,Bolsa,Orange County,33.69327164,-118.01774596999999,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903384&config=WellFinder,183829.08460000157,-478262.79679999966
0405903383,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 63,Southern,Orange,Bolsa,Orange County,33.69429398,-118.02040863,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903383&config=WellFinder,183579.82710000128,-478154.6202999996
0405903382,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 62,Southern,Orange,Bolsa,Orange County,33.69424438,-118.01849365,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903382&config=WellFinder,183757.50310000032,-478156.4090999998
0405903381,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 61,Southern,Orange,Bolsa,Orange County,33.69379425,-118.01979828,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903381&config=WellFinder,183637.5773999989,-478208.83800000045
0405903380,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 60,Southern,Orange,Bolsa,Orange County,33.69245148,-118.01984406,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903380&config=WellFinder,183636.44200000167,-478357.7849000003
0405903356,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 34,Southern,Orange,Bolsa,Orange County,33.69374466,-118.01837158,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903356&config=WellFinder,183769.9798000008,-478211.5711000003
0405903355,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 33,Southern,Orange,Bolsa,Orange County,33.69444275,-118.02002716,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903355&config=WellFinder,183614.85339999944,-478137.38910000026
0405903354,Tier 3,Water Disposal,John A. Thomas,Huntington Beach,Bolsa 32,Southern,Orange,Bolsa,Orange County,33.69586945,-118.01786041,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903354&config=WellFinder,183812.45149999857,-477975.02749999985
0405903352,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 30,Southern,Orange,Bolsa,Orange County,33.69288635,-118.01963043,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903352&config=WellFinder,183655.24350000173,-478309.1617999999
0405903351,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 29,Southern,Orange,Bolsa,Orange County,33.6906662,-118.0195694,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903351&config=WellFinder,183666.04439999908,-478555.1668999996
0405903350,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 28,Southern,Orange,Bolsa,Orange County,33.69162369,-118.01885986,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903350&config=WellFinder,183729.6191000007,-478447.6459999997
0405903349,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 27,Southern,Orange,Bolsa,Orange County,33.69134903,-118.02031708,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903349&config=WellFinder,183595.13390000165,-478480.9173999997
0405903348,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 26,Southern,Orange,Bolsa,Orange County,33.692173,-118.01875305,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903348&config=WellFinder,183738.25039999932,-478386.54310000036
0405903347,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 25-A,Southern,Orange,Bolsa,Orange County,33.69240189,-118.02014923,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903347&config=WellFinder,183608.2600999996,-478363.8733999999
0405903346,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 24,Southern,Orange,Bolsa,Orange County,33.69745636,-118.01711273,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903346&config=WellFinder,183878.09659999982,-477797.65359999985
0405903343,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 21,Southern,Orange,Bolsa,Orange County,33.69661331,-118.01836395,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903343&config=WellFinder,183764.03929999843,-477893.5396999996
0405903342,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 20-A,Southern,Orange,Bolsa,Orange County,33.69514847,-118.02054596,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903342&config=WellFinder,183565.11549999937,-478060.15809999965
0405903339,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 17,Southern,Orange,Bolsa,Orange County,33.69552231,-118.01911163,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903339&config=WellFinder,183697.24219999835,-478015.9363000002
0405903338,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 16,Southern,Orange,Bolsa,Orange County,33.69413757,-118.01911163,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903338&config=WellFinder,183700.45010000095,-478169.4475999996
0405903337,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 15,Southern,Orange,Bolsa,Orange County,33.69498825,-118.01758575,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903337&config=WellFinder,183839.9609999992,-478072.1842
0405903336,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 14,Southern,Orange,Bolsa,Orange County,33.69416809,-118.01771545,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903336&config=WellFinder,183829.83639999852,-478163.358
0405903335,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 13,Southern,Orange,Bolsa,Orange County,33.69311905,-118.01863098,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903335&config=WellFinder,183747.3770999983,-478281.4283999996
0405903334,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 12,Southern,Orange,Bolsa,Orange County,33.69499969,-118.01663208,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903334&config=WellFinder,183928.3599999994,-478069.06630000006
0405903332,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 10,Southern,Orange,Bolsa,Orange County,33.69501877,-118.01548004,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903332&config=WellFinder,184035.13430000097,-478064.71549999993
0405903328,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 7,Southern,Orange,Bolsa,Orange County,33.69319534,-118.01766205,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903328&config=WellFinder,183837.0428000018,-478271.0926000001
0405903327,Tier 3,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 6,Southern,Orange,Bolsa,Orange County,33.69245529,-118.01860046,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903327&config=WellFinder,183751.745099999,-478354.95299999975
0405903325,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 4,Southern,Orange,Bolsa,Orange County,33.69110107,-118.02041626,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903325&config=WellFinder,183586.51139999926,-478508.59800000023
0405903324,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 3,Southern,Orange,Bolsa,Orange County,33.68967438,-118.0205307,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903324&config=WellFinder,183579.2025000006,-478666.98060000036
0405903322,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bolsa 1-A,Southern,Orange,Bolsa,Orange County,33.6901207,-118.01960754,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405903322&config=WellFinder,183663.77120000124,-478615.7143000001
0405902412,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Texcal 4,Southern,Orange,Texcal,Huntington Beach,33.68435287,-118.00201416,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902412&config=WellFinder,185308.62680000067,-479220.8903000001
0405902367,Inaccessible,Oil & Gas,I. Rosenblum et al,Huntington Beach,O'Neill 1,Southern,Orange,O'Neill,Huntington Beach,33.66958618,-118.01261139,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902367&config=WellFinder,184360.22819999978,-480878.53560000006
0405902334,Tier 2,Oil & Gas,Rex Oil Co.,Huntington Beach,Montebello 5,Southern,Orange,Montebello,Huntington Beach,33.68629456,-118.00292969,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902334&config=WellFinder,185219.19170000032,-479007.42810000014
0405902329,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bradley 1,Southern,Orange,Bradley,Huntington Beach,33.65686798,-117.99871826,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902329&config=WellFinder,185678.5914000012,-482261.2962999996
0405902328,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Bradley 2,Southern,Orange,Bradley,Huntington Beach,33.65688705,-117.99869537,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902328&config=WellFinder,185680.67020000145,-482259.13740000036
0405902326,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Mcdonald 18,Southern,Orange,Mcdonald,Huntington Beach,33.6861496,-118.00246429,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902326&config=WellFinder,185262.6875,-479022.5888
0405902323,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Dabney 15,Southern,Orange,Dabney,Huntington Beach,33.68314362,-118.00298309,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902323&config=WellFinder,185221.59870000184,-479356.83800000045
0405902322,Tier 1,Oil & Gas,John A. Thomas,Huntington Beach,Dabney 14,Southern,Orange,Dabney,Huntington Beach,33.6831665,-118.00374603,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902322&config=WellFinder,185150.79410000145,-479355.7917999998
0405902320,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Patton 11,Southern,Orange,Patton,Huntington Beach,33.68410873,-118.00306702,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902320&config=WellFinder,185211.56159999967,-479250.0122999996
0405902316,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Clark 7,Southern,Orange,Clark,Huntington Beach,33.68600464,-118.00205231,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902316&config=WellFinder,185301.22960000113,-479037.85360000003
0405902314,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Turley 4R,Southern,Orange,Turley,Huntington Beach,33.68620682,-118.00380707,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902314&config=WellFinder,185138.03610000014,-479018.86849999987
0405902311,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Carroll 3,Southern,Orange,Carroll,Huntington Beach,33.68613815,-118.00296021,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902311&config=WellFinder,185216.72690000013,-479024.8269999996
0405902227,Tier 2,Oil & Gas,"O'Donnell Oil, LLC",Huntington Beach,Renfro 60,Southern,Orange,Renfro,Huntington Beach,33.68806839,-117.99023438,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902227&config=WellFinder,186392.27180000022,-478785.9051999999
0405902172,Inaccessible,Oil & Gas,Motor Oil & Refining Co.,Huntington Beach,1,Southern,Orange,Unspecified,Huntington Beach,33.66278076,-117.9961319,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902172&config=WellFinder,185904.66050000116,-481600.77190000005
0405902159,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,H.S. Kohlbush 11,Southern,Orange,H.S. Kohlbush,Huntington Beach,33.69390869,-118.00887299,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902159&config=WellFinder,184650.3324000016,-478174.9314000001
0405902148,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Brooks 3,Southern,Orange,Brooks,Huntington Beach,33.69490814,-118.01400757,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902148&config=WellFinder,184171.9204000011,-478074.1206
0405902147,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Brooks 2,Southern,Orange,Brooks,Huntington Beach,33.6947403,-118.01477814,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405902147&config=WellFinder,184100.86180000007,-478094.2237999998
0405901999,Inaccessible,Oil & Gas,Julian Oil Well Pump Co.,Huntington Beach,3,Southern,Orange,Unspecified,Huntington Beach,33.67133331,-117.9998703,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901999&config=WellFinder,185537.8874000013,-480660.0014000004
0405901995,Inaccessible,Oil & Gas,C. O. Jaggers Co.,Huntington Beach,1,Southern,Orange,Unspecified,Huntington Beach,33.70592499,-118.01845551,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901995&config=WellFinder,183733.9712000005,-476861.4232999999
0405901992,Inaccessible,Oil & Gas,J-P Oil Co.,Huntington Beach,2,Southern,Orange,Unspecified,Huntington Beach,33.67044449,-117.99917603,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901992&config=WellFinder,185604.35970000178,-480757.1732000001
0405901988,Inaccessible,Oil & Gas,Interstate Oil Corp.,Huntington Beach,Bolsa Chica 2,Southern,Orange,Bolsa Chica,Huntington Beach,33.66798019,-117.99436951,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901988&config=WellFinder,186055.94220000133,-481020.9330000002
0405901493,Inaccessible,Oil & Gas,Black Eagle Oil Corp,Huntington Beach,1,Southern,Orange,Unspecified,Huntington Beach,33.6906929,-118.04402161,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901493&config=WellFinder,181398.6121999994,-478599.284
0405901429,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Texcal 5,Southern,Orange,Texcal,Huntington Beach,33.68432617,-118.00280762,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901429&config=WellFinder,185235.1088999994,-479225.4007000001
0405901401,Tier 3,Oil & Gas,Atlantic Richfield Company,Huntington Beach,Wilkes 1-A,Southern,Orange,Wilkes,Huntington Beach,33.68592453,-117.99515533,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901401&config=WellFinder,185940.98409999907,-479033.2312000003
0405901325,Inaccessible,Oil & Gas,Frank A. Andrews & Assoc.,Huntington Beach,1,Southern,Orange,Unspecified,Huntington Beach,33.693398,-118.00122,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901325&config=WellFinder,185361.12900000066,-478216.6122000003
0405901320,Tier 2,Oil & Gas,John A. Thomas & Linda Thomas,Huntington Beach,Swartzbaugh 1,Southern,Orange,Swartzbaugh,Huntington Beach,33.68724823,-118.00583649,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901320&config=WellFinder,184947.4167000018,-478907.3809000002
0405901319,Tier 2,Oil & Gas,John A. Thomas,Huntington Beach,Houston 1,Southern,Orange,Houston,Huntington Beach,33.68481827,-118.00257111,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901319&config=WellFinder,185255.89180000126,-479170.3855999997
0405901315,Inaccessible,Oil & Gas,Allied Petroleum Corp,Huntington Beach,1,Southern,Orange,Unspecified,Huntington Beach,33.677152,-118.001471,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901315&config=WellFinder,185375.82550000027,-480018.09520000033
0405901293,Inaccessible,Oil & Gas,Winters' Club,Any Field,Club 1,Southern,Orange,Club,Huntington Beach,33.71646881,-118.00235748,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901293&config=WellFinder,185201.76040000096,-475661.2008999996
0405901290,Inaccessible,Oil & Gas,Whittier De Moines Oil Co.,Any Field,1,Southern,Orange,Unspecified,La Habra,33.919935,-117.967128,https://maps.conservation.ca.gov/doggr/wellfinder/index.html?api=0405901290&config=WellFinder,187983.58960000053,-453032.66810000036
